flock_year,file_name,bird_label
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_F_22_B1136_02574.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_I_22_B1139_19056.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,WS_MR_B1144_04640.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ES_MY_B1128_09561.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_WKY_B1130_10821.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,MS_YB_B1126_06514.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ES_MY_B1128_23997.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_WKY_B1130_12400.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,RS_BO_B1129_16511.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_I_22_B1139_17456.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,OS_EM_B1127_04816.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,OS_EM_B1127_03406.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_A_22_B1111_04552.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_WKY_B1130_05961.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_I_22_B1139_02311.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,RS_BO_B1129_01469.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_J_22_B1142_25536.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_KEO_B1122_02523.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_KRE_B1118_16671.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,ABLA_C_22_B1116_24188.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,WS_MR_B1144_17549.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,WS_MR_B1144_22294.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,WS_MR_B1144_11306.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,MS_YB_B1126_08089.wav,0
/Users/story/Documents/Birdz/cut_songs/ABLA_2022,S_WKY_B1130_08300.wav,0
