flock_year,file_name,bird_label,latitude,longitude
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_02007.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_26198.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_22048.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_23346.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_03144.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_05331.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_04228.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_20161.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_00851.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_15459.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_16622.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_18806.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_17707.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_27932.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM18_20200424r1_24341.wav,6,37.70864,-122.48654
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM16_20200424r1_12465.wav,6,37.71023,-122.48559
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM16_20200424r1_23069.wav,6,37.71023,-122.48559
/Users/story/Documents/Birdz/cut_songs/LAME_2020,LM16_20200424r1_04588.wav,6,37.71023,-122.48559
